question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct
146566,76898,2021,Ohio,1102,Emerson College,"1185,1725",Nexstar | NBC 4 Ohio,Emerson College,88,Emerson College,A-,445,lv,lv,IVR/Text,U.S. House,15,District 15,10/14/21,10/16/21,11/2/21,"",false,,,false,false,10/20/21 07:11,"",https://www.nbc4i.com/news/your-local-election-hq/oh-15-poll-republican-mike-carey-leads-democrat-allison-russo-among-likely-voters/,general,9477,Russo,28683,Allison Russo,DEM,38.9
146566,76898,2021,Ohio,1102,Emerson College,"1185,1725",Nexstar | NBC 4 Ohio,Emerson College,88,Emerson College,A-,445,lv,lv,IVR/Text,U.S. House,15,District 15,10/14/21,10/16/21,11/2/21,"",false,,,false,false,10/20/21 07:11,"",https://www.nbc4i.com/news/your-local-election-hq/oh-15-poll-republican-mike-carey-leads-democrat-allison-russo-among-likely-voters/,general,9477,Carey,28684,Mike Carey,REP,50.0
145401,76324,2022,Iowa,324,Moore Information,"","",Moore Information,217,Moore Information,B/C,1000,lv,lv,,U.S. House,3,District 3,9/9/21,9/9/21,11/8/22,Zach Nunn,true,REP,,false,false,9/16/21 09:23,"",https://twitter.com/kirk_bado/status/1438488648706629640,general,9152,Axne,28652,Cindy Axne,DEM,46.0
145401,76324,2022,Iowa,324,Moore Information,"","",Moore Information,217,Moore Information,B/C,1000,lv,lv,,U.S. House,3,District 3,9/9/21,9/9/21,11/8/22,Zach Nunn,true,REP,,false,false,9/16/21 09:23,"",https://twitter.com/kirk_bado/status/1438488648706629640,general,9152,Nunn,28651,Zach Nunn,REP,42.0
143595,75304,2021,Texas,24,American Viewpoint,"","",American Viewpoint,10,American Viewpoint,B/C,400,lv,lv,Live Phone,U.S. House,6,District 6,7/19/21,7/21/21,7/27/21,Susan Wright,true,REP,,false,false,7/22/21 14:11,"",https://mcusercontent.com/84c8faf48625b2f334ce6f14f/files/171856ba-1fd9-5980-1fd8-54bf66be22ee/Susan_Wright_for_Congress_IP_Memo_July21.pdf,runoff,9442,Wright,19156,Susan Wright,REP,44.0
143595,75304,2021,Texas,24,American Viewpoint,"","",American Viewpoint,10,American Viewpoint,B/C,400,lv,lv,Live Phone,U.S. House,6,District 6,7/19/21,7/21/21,7/27/21,Susan Wright,true,REP,,false,false,7/22/21 14:11,"",https://mcusercontent.com/84c8faf48625b2f334ce6f14f/files/171856ba-1fd9-5980-1fd8-54bf66be22ee/Susan_Wright_for_Congress_IP_Memo_July21.pdf,runoff,9442,Ellzey,19157,Jake K. Ellzey,REP,34.0
142710,74900,2021,Texas,24,American Viewpoint,"","",American Viewpoint,10,American Viewpoint,B/C,400,lv,lv,Live Phone,U.S. House,6,District 6,6/1/21,6/3/21,7/27/21,Susan Wright,true,REP,,false,false,6/8/21 20:20,"",https://static.politico.com/64/a3/2b2f3167492586ae823c291e06ed/susan-wright-for-congress-ip-memo-june21.pdf,runoff,9442,Wright,19156,Susan Wright,REP,49.0
142710,74900,2021,Texas,24,American Viewpoint,"","",American Viewpoint,10,American Viewpoint,B/C,400,lv,lv,Live Phone,U.S. House,6,District 6,6/1/21,6/3/21,7/27/21,Susan Wright,true,REP,,false,false,6/8/21 20:20,"",https://static.politico.com/64/a3/2b2f3167492586ae823c291e06ed/susan-wright-for-congress-ip-memo-june21.pdf,runoff,9442,Ellzey,19157,Jake K. Ellzey,REP,34.0
142514,74843,2021,New Mexico,998,RRH Elections,1636,Elections Daily,RRH Elections,274,RRH Elections,B/C,555,lv,lv,IVR/Online,U.S. House,1,District 1,5/18/21,5/21/21,6/1/21,"",false,,,false,false,5/24/21 11:05,"",https://rrhelections.com/index.php/2021/05/24/rrh-elections-nm-1-congressional-poll-stansbury-d-leads-moores-r-49-33/,general,9440,Stansbury,20704,Melanie Ann Stansbury,DEM,49.0
142514,74843,2021,New Mexico,998,RRH Elections,1636,Elections Daily,RRH Elections,274,RRH Elections,B/C,555,lv,lv,IVR/Online,U.S. House,1,District 1,5/18/21,5/21/21,6/1/21,"",false,,,false,false,5/24/21 11:05,"",https://rrhelections.com/index.php/2021/05/24/rrh-elections-nm-1-congressional-poll-stansbury-d-leads-moores-r-49-33/,general,9440,Moores,20705,Mark David Moores,REP,33.0
